Date;Total Mails;Total Detected;Hidden Partial;Hidden Full;1and1;AOL;AdobeMarketingCloud;Amazon;AppRiver;Apple;CenturyLink;Cisco;Comcast;Epsilon;ExperianMarketingServices;Fujitsu;GoDaddy;Google;MAXMailProtection;McAfee;Microsoft;Mimecast;NTT Communications;OVH;Oracle;Proofpoint;Rackspace;Salesforce;SoftLayer;Strato;Symantec;TrendMicro;VMware;Virtustream;Yahoo
2011-08;11548;1735;661;657;14;;;5;;;3;;;;;;1;462;;;21;;;125;;1;;;1;12;;;;1;16
2011-09;10022;1833;602;599;11;;;4;;;6;;;;;;6;508;;;15;;;41;;;;;;3;;;;;8
2011-10;11970;1940;586;578;10;;;2;;;2;;;;;;3;499;;;9;;;39;;;;;1;8;1;;;3;9
2011-11;10602;1676;567;564;13;2;;1;;;2;;;;;;;454;;;4;;3;56;;;;;;10;;;;;24
2011-12;10561;1715;646;640;19;;;3;;;6;;;;;;9;492;;;;;11;33;;;;;14;14;;;;1;46
2012-01;12874;1943;723;716;46;;;3;;;7;;;;;;7;570;;;9;;3;37;;;2;;2;6;3;;;;29
2012-02;12620;1920;675;673;24;;;;;;6;;;;;;2;527;;;11;;5;57;;;1;;;17;;;;;26
2012-03;11344;1901;596;591;13;;;1;;;2;;;;;;5;509;;;8;;4;26;;;;;;12;;;;;20
2012-04;10384;1660;600;598;24;6;;1;;;;;;;;;8;493;;;;;;44;;;;;;8;;;;;24
2012-05;12342;1699;580;575;19;;;5;;;5;1;;;;1;8;472;;;7;;;44;;;2;;1;10;;;;;10
2012-06;14065;2151;744;736;30;;;3;;;2;;;;;;5;603;;;2;;4;32;;2;1;;6;8;1;;;;47
2012-07;10910;1726;592;586;34;;;2;;;2;;;;;;6;469;;;9;;10;18;;;;;1;16;1;;;;26
2012-08;11078;1798;582;577;15;;;5;;;2;;;3;;;3;504;;1;1;;1;23;;;;;;11;;;;;17
2012-09;10752;1873;655;651;10;1;;3;;;4;;;;;;18;483;;;1;;9;69;;;;;1;39;1;;;;19
2012-10;11916;1961;748;743;8;1;;8;;;;;;;;;23;609;;;6;;6;48;;;15;;;3;;;;;21
2012-11;11444;2341;893;886;15;1;;3;;;1;;;;;;19;734;;;14;;10;79;;;12;;1;11;1;;;;11
2012-12;11100;2017;807;783;58;;;1;;;;;4;;;1;10;641;;;1;1;9;106;;;4;;;3;;;;;9
2013-01;11719;2100;791;781;4;5;;5;1;;3;;13;;;;16;628;;;;;17;77;;;2;;;6;1;;;;43
2013-02;11630;1981;852;827;10;1;;5;;;1;;49;;;;4;677;;;3;2;;111;;4;6;1;;2;;;;;26
2013-03;12738;2244;902;873;17;;;27;;;2;;31;;;;8;619;;;6;1;1;194;;;;1;;11;1;;;;29
2013-04;9807;1938;855;829;10;3;;10;;;5;;77;;;;4;596;;;11;;5;108;;;5;;18;2;1;;;;36
2013-05;12116;2061;882;866;6;6;;11;;;4;;41;;;;8;635;;;9;;5;148;1;;;;10;5;;;;;31
2013-06;11895;1762;782;773;4;4;;5;;1;3;;3;;;;9;598;;;18;;2;137;;1;10;;11;2;1;;;2;30
2013-07;17438;2116;946;930;9;3;;9;;;10;;1;;;;;718;;;15;1;2;179;1;;2;;;3;;;;;39
2013-08;20428;2027;932;928;6;3;;17;;2;15;;;;;1;8;670;;;13;;21;143;;;;;2;;2;;;;48
2013-09;21129;1852;716;701;6;4;;7;;;10;;;;;;9;503;;;10;1;20;169;;;2;;;9;2;;;;25
2013-10;33357;2246;918;903;8;4;;28;;;3;;1;;;1;13;668;;;16;;10;184;;;2;;2;9;2;;;1;27
2013-11;33447;1887;760;750;7;;;17;;;4;;;;;;13;535;;;23;1;16;138;;;4;1;;11;1;;;;30
2013-12;29941;1753;802;794;7;1;;14;;;12;;;;;2;2;601;;;9;;5;160;;;4;;;4;;;;;57
2014-01;40625;2234;878;864;10;;;12;;1;9;;;;;;2;684;;;13;;15;141;;2;5;;;6;;;;;63
2014-02;30070;1795;790;780;12;1;;13;;;10;;2;;;3;4;599;;;8;;24;125;;1;;;;6;;;;;42
2014-03;26212;2019;859;853;17;1;;13;;;6;;4;;;;7;676;;1;19;;15;107;;1;4;;;4;;;;;22
2014-04;24250;1855;744;732;5;1;;16;;;5;;5;;;5;;538;1;;16;;7;118;;1;;;;6;3;;;;77
